"日期","收市","開市","高","低","成交量","更改%"
"2016年4月27日","4.93","4.93","4.96","4.91","89.22M","0.61%"
"2016年4月26日","4.90","4.87","4.90","4.85","37.62M","0.41%"
"2016年4月25日","4.88","4.88","4.88","4.82","50.78M","-0.41%"
"2016年4月22日","4.90","4.86","4.90","4.82","87.41M","0.00%"
"2016年4月21日","4.90","4.81","4.96","4.79","175.34M","2.30%"
"2016年4月20日","4.79","4.90","4.92","4.71","210.87M","-1.64%"
"2016年4月19日","4.87","4.89","4.91","4.85","59.32M","0.21%"
"2016年4月18日","4.86","4.94","4.94","4.83","160.86M","-3.19%"
"2016年4月15日","5.02","5.04","5.07","4.98","81.79M","-0.59%"
"2016年4月14日","5.05","5.08","5.13","5.02","104.16M","-0.39%"
"2016年4月13日","5.07","5.02","5.14","4.96","255.35M","2.42%"
"2016年4月12日","4.95","4.93","5.03","4.91","128.57M","0.20%"
"2016年4月11日","4.94","4.92","5.07","4.91","186.33M","1.44%"
"2016年4月8日","4.87","4.92","4.98","4.82","146.18M","-1.62%"
"2016年4月7日","4.95","4.99","5.06","4.91","204.97M","-0.60%"
"2016年4月6日","4.98","4.86","5.09","4.85","339.84M","1.84%"
"2016年4月5日","4.89","4.85","4.95","4.82","230.36M","-0.20%"
"2016年4月1日","4.90","4.75","4.94","4.74","319.89M","2.73%"
"2016年3月31日","4.77","4.74","4.82","4.70","231.98M","0.85%"
"2016年3月30日","4.73","4.58","4.85","4.58","425.94M","4.19%"
"2016年3月29日","4.54","4.55","4.57","4.51","83.64M","0.00%"
"2016年3月28日","4.54","4.55","4.59","4.53","96.94M","-0.22%"
"2016年3月25日","4.55","4.54","4.56","4.50","86.11M","0.22%"
"2016年3月24日","4.54","4.63","4.64","4.53","149.10M","-2.58%"
"2016年3月23日","4.66","4.68","4.68","4.64","71.42M","-0.21%"
"2016年3月22日","4.67","4.68","4.70","4.65","117.04M","-0.64%"
"2016年3月21日","4.70","4.69","4.72","4.66","292.92M","0.21%"
"2016年3月18日","4.69","4.71","4.73","4.66","182.96M","0.21%"
"2016年3月17日","4.68","4.69","4.72","4.62","87.62M","0.00%"
"2016年3月16日","4.68","4.58","4.68","4.58","220.54M","1.96%"
"2016年3月15日","4.59","4.60","4.61","4.55","60.17M","-0.43%"
"2016年3月14日","4.61","4.59","4.68","4.58","105.47M","0.88%"
"2016年3月11日","4.57","4.51","4.59","4.50","83.89M","0.66%"
"2016年3月10日","4.54","4.59","4.63","4.53","92.99M","-2.16%"
"2016年3月9日","4.64","4.61","4.66","4.49","201.32M","-1.49%"
"2016年3月8日","4.71","4.75","4.76","4.62","121.04M","0.21%"
"2016年3月7日","4.70","4.69","4.78","4.64","142.69M","0.43%"
"2016年3月4日","4.68","4.53","4.72","4.52","354.49M","2.86%"
"2016年3月3日","4.55","4.55","4.56","4.48","155.89M","0.00%"
"2016年3月2日","4.55","4.44","4.56","4.42","225.53M","3.17%"
"2016年3月1日","4.41","4.35","4.43","4.32","93.59M","1.61%"
"2016年2月29日","4.34","4.34","4.37","4.25","157.13M","-0.46%"
"2016年2月26日","4.36","4.33","4.38","4.30","95.33M","1.63%"
"2016年2月25日","4.29","4.48","4.49","4.27","133.30M","-4.67%"
"2016年2月24日","4.50","4.45","4.51","4.42","76.35M","0.45%"
"2016年2月23日","4.48","4.50","4.53","4.44","114.40M","-0.22%"
"2016年2月22日","4.49","4.42","4.50","4.41","132.93M","2.05%"
"2016年2月19日","4.40","4.42","4.45","4.38","72.90M","-0.68%"
"2016年2月18日","4.43","4.48","4.50","4.42","118.01M","-0.67%"
"2016年2月17日","4.46","4.38","4.47","4.37","127.06M","1.13%"
"2016年2月16日","4.41","4.32","4.44","4.32","128.72M","2.56%"
"2016年2月15日","4.30","4.24","4.33","4.22","65.47M","-0.92%"
"2016年2月5日","4.34","4.33","4.40","4.30","71.35M","0.46%"
"2016年2月4日","4.32","4.30","4.34","4.29","77.37M","1.17%"
"2016年2月3日","4.27","4.28","4.29","4.23","66.87M","-1.61%"
"2016年2月2日","4.34","4.27","4.35","4.26","75.79M","0.93%"
